[23:08:08.551] RX[COM9]  49
[23:08:08.553] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[23:08:08.554] RX[COM9]  20 28 38 33 30 39 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[23:08:08.554] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.555] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:08.555] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[23:08:08.555] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[23:08:08.556] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[23:08:08.557] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[23:08:08.558] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:08.559] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.559] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:08.559] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[23:08:08.560] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.561] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:08.562] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:08.562] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[23:08:08.563] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:08.564] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.564] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[23:08:08.565] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.565] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[23:08:08.566] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.566] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:08.567] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[23:08:08.567] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[23:08:08.569] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:08.569] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[23:08:08.570] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.570] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[23:08:08.571] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.571] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:08.572] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:08.572] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:08.572] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[23:08:08.573] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.573] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:08.573] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:08.574] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.575] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:08.576] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[23:08:08.576] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.577] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[23:08:08.578] BAD_PACKET[COM9] unknown packet ID 0x79; discarded 1 byte(s)
[23:08:08.578] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:08.579] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.579] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:08.580] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:08.580] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[23:08:08.581] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[23:08:08.581] RX[COM9]  49
[23:08:08.582] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[23:08:08.582] RX[COM9]  20 28 38 33 34 39 29 20 61 70 65 72 74 75 72 65 3a 20 48 65 61 72 74 62 65 61 74 20 73 65 6e 74 0d 0a
[23:08:08.583] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.584] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:08.584] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[23:08:08.585] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[23:08:08.587] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[23:08:08.588] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[23:08:08.589] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:08.589] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.590] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:08.590] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[23:08:08.591] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.592] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:08.592] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:08.593] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[23:08:08.593] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:08.594] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.598] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[23:08:08.598] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.599] BAD_PACKET[COM9] unknown packet ID 0x48; discarded 1 byte(s)
[23:08:08.599] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.600] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:08.600] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:08.601] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:08.602] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[23:08:08.602] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.603] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:08.604] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:08.604] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:08.605] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:08.605] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:08.606] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:08.606] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:08.607] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[23:08:08.607] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[23:08:09.545] RX[COM9]  49
[23:08:09.547] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[23:08:09.548] RX[COM9]  20 28 39 33 30 39 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[23:08:09.548] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.550] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:09.551] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[23:08:09.552] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[23:08:09.552] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[23:08:09.553] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[23:08:09.553] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:09.554] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.554] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:09.555] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[23:08:09.555] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.556] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:09.556] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:09.557] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[23:08:09.557] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:09.558] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.558] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[23:08:09.559] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.559] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[23:08:09.560] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.560] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:09.560] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[23:08:09.561] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[23:08:09.562] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:09.563] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[23:08:09.564] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.565] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[23:08:09.565] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.566] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:09.567] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:09.567] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:09.569] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[23:08:09.569] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.570] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:09.570] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:09.571] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.571] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:09.572] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[23:08:09.572] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.573] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[23:08:09.577] BAD_PACKET[COM9] unknown packet ID 0x79; discarded 1 byte(s)
[23:08:09.578] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:09.580] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.581] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:09.581] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:09.583] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[23:08:09.584] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[23:08:09.585] RX[COM9]  49
[23:08:09.586] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[23:08:09.586] RX[COM9]  20 28 39 33 34 39 29 20 61 70 65 72 74 75 72 65 3a 20 48 65 61 72 74 62 65 61 74 20 73 65 6e 74 0d 0a
[23:08:09.587] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.587] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:09.588] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[23:08:09.588] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[23:08:09.589] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[23:08:09.589] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[23:08:09.589] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:09.590] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.590] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:09.591] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[23:08:09.591] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.592] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:09.592] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:09.593] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[23:08:09.594] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:09.595] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.596] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[23:08:09.596] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.597] BAD_PACKET[COM9] unknown packet ID 0x48; discarded 1 byte(s)
[23:08:09.597] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.598] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:09.598] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:09.599] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:09.600] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[23:08:09.600] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.600] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:09.602] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:09.602] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:09.603] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:09.603] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:09.604] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:09.604] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:09.604] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[23:08:09.605] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[23:08:10.563] RX[COM9]  49
[23:08:10.565] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[23:08:10.565] RX[COM9]  20 28 31 30 33 30 39 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[23:08:10.565] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:10.566] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:10.566] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[23:08:10.567] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[23:08:10.568] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[23:08:10.568] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[23:08:10.569] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[23:08:10.569] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:10.570] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:10.571] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:10.571] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[23:08:10.572] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:10.572] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:10.572] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
