[17:25:58.042] PACKET[TCP_prs2026hitl_7100] heartbeat: status=256, uptime=687069
[17:25:58.048] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0x01: expected 0x0a, got 0x00; resync=offset 94
[17:25:58.052] PACKET[TCP_prs2026hitl_7100] sensors: status=2816, uptime=655397, filtered_accel=[26.22524, 0.0004, 256.90096], gyro=[1738.24, 1615.74, 2.45]
[17:25:58.057] PACKET[TCP_prs2026hitl_7100] sensors: status=3840, uptime=706047, filtered_accel=[-8.99072, 236.36988, -89.07776], gyro=[645.82, 36.96, 0.0]
[17:25:58.061] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0xc5; discarded 132 byte(s)
[17:25:58.066] PACKET[TCP_prs2026hitl_7100] sensors: status=2816, uptime=688569, filtered_accel=[-0.04, 0.91892, -0.36452], gyro=[-2.52, 1.68, 2.66]
[17:25:58.071] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 500 byte(s)
[17:25:58.077] PACKET[TCP_prs2026hitl_7100] heartbeat: status=54622, uptime=1079918605
[17:25:58.084] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x57; discarded 1 byte(s)
[17:25:58.089] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.095] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x28; discarded 1 byte(s)
[17:25:58.097] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x36; discarded 1 byte(s)
[17:25:58.098] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x38; discarded 1 byte(s)
[17:25:58.098] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x38; discarded 1 byte(s)
[17:25:58.098] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x37; discarded 1 byte(s)
