[17:13:20.360] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0xd1; resync=offset 68
[17:13:20.364] PACKET[TCP_prs2026hitl_7000] sensors: status=2816, uptime=2818, filtered_accel=[-0.00016, -288.3548, 306.70844], gyro=[-573.51, -2.66, 1.4], sensor_trailing_u16=35
[17:13:20.368] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 10 byte(s)
[17:13:20.373] PACKET[TCP_prs2026hitl_7000] heartbeat: status=65532, uptime=2650800161
[17:13:20.377] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 361 byte(s)
[17:13:20.382] PACKET[TCP_prs2026hitl_7000] heartbeat: status=65495, uptime=1581261069
[17:13:20.388] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x29; discarded 193 byte(s)
[17:13:20.393] PACKET[TCP_prs2026hitl_7000] heartbeat: status=65495, uptime=1581261069
[17:13:20.398] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x57; discarded 1 byte(s)
[17:13:20.403] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 1 byte(s)
[17:13:20.405] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x28; discarded 1 byte(s)
[17:13:20.406] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x32; discarded 1 byte(s)
[17:13:20.408] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x34; discarded 1 byte(s)
[17:13:20.408] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x34; discarded 1 byte(s)
[17:13:20.408] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x39; discarded 1 byte(s)
[17:13:20.409] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x38; discarded 1 byte(s)
[17:13:20.409] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x29; discarded 1 byte(s)
[17:13:20.410] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 1 byte(s)
[17:13:20.410] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x73; discarded 1 byte(s)
[17:13:20.410] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x65; discarded 1 byte(s)
[17:13:20.411] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x72; discarded 1 byte(s)
[17:13:20.411] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x69; discarded 1 byte(s)
[17:13:20.412] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x61; discarded 1 byte(s)
[17:13:20.412] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6c; discarded 1 byte(s)
[17:13:20.412] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5f; discarded 1 byte(s)
[17:13:20.413] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x63; discarded 1 byte(s)
