[16:43:58.815] RX[TCP_prs2026hitl_7000]  ff fb 03 ff fd 03 ff fb 01 ff fe 01 ff fd 00 ff fb 00 ff fd 2c
[16:43:58.817] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0xfb; payload=fb 03 ff fd 03 ff
[16:44:02.888] RX[TCP_prs2026hitl_7000]  00 25 0a 01 0b 00 00 01 b6 be 00 00 0c 00 58 f9 ff ff da 72 ff ff d6 00 18 00 23 0a 01 0b 00 00 01 b7 22 00 00 0c 00 59 06 ff ff ff ff d6 00 00 24 0a 00 25 0a 00 25 0a 01 0f 00 00 01 b8 4e 00 00 0c 00 59
[16:44:02.889] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0xbe; payload=ff fe 01 ff fd 00 ff fb 00 ff fd 2c 00 25 0a 01 0b 00 00 01 b6
[16:44:02.890] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:02.890] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:02.891] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0c; discarded 1 byte
[16:44:02.891] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:02.892] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x58; discarded 1 byte
[16:44:02.892] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0xf9; discarded 1 byte
[16:44:02.892] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0x00; payload=ff da 72 ff ff d6
[16:44:02.893] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x18; discarded 1 byte
[16:44:02.893] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:02.894] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x23; discarded 1 byte
[16:44:02.894] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:44:02.895] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0x00; payload=0b 00 00 01 b7 22 00 00 0c 00 59 06 ff ff ff ff d6 00 00 24 0a
[16:44:02.895] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x25; discarded 1 byte
[16:44:02.895] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:44:02.895] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:02.896] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x25; discarded 1 byte
[16:44:02.896] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
