[00:52:29.443] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[00:52:29.444] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[00:52:29.444] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[00:52:29.444] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[00:52:29.445] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[00:52:29.445] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:52:29.445] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x3a; discarded 1 byte(s)
[00:52:29.446] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:52:29.446] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x56; discarded 1 byte(s)
[00:52:29.446] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[00:52:29.446] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[00:52:29.447] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[00:52:29.447] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:52:29.447] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:52:29.448] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[00:52:29.448] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[00:52:29.448] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:52:29.449] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[00:52:29.449] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[00:52:29.450] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[00:52:29.450] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[00:52:29.450] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:52:29.450] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[00:52:29.451] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[00:52:29.451] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x74; discarded 1 byte(s)
[00:52:29.451] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[00:52:29.452] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[00:52:29.452] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[00:52:29.452] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[00:52:29.453] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[00:52:29.453] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x64; discarded 1 byte(s)
[00:52:29.453] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0d; discarded 1 byte(s)
[00:52:29.454] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0a; discarded 1 byte(s)
[00:52:29.454] ERROR[TCP_prs2026hitl_7101] TCP server closed the connection
[00:52:30.060] RX[TCP_prs2026hitl_7100]  49 20 28 32 33 32 38 33 30 36 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[00:52:30.061] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x49; discarded 1 byte(s)
[00:52:30.061] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[00:52:30.062] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x28; discarded 1 byte(s)
[00:52:30.062] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x32; discarded 1 byte(s)
