[16:44:54.626] RX[TCP_prs2026hitl_7000]  ff fb 03 ff fd 03 ff fb 01 ff fe 01 ff fd 00 ff fb 00 ff fd 2c
[16:44:54.627] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0xfb; payload=fb 03 ff fd 03 ff
[16:44:58.672] RX[TCP_prs2026hitl_7000]  00 00 00 00 59 ff ff ff ff d5 00 18 00 22 0a 01 0b 00 00 01 fb 7e 00 00 18 00 58 f9 ff ff ff ff d6 00 00 24 0a 01 0f 00 00 01 fb e2 00 00 00 00 59 06 ff ff da 8b ff ff d7 00 00 24 0a 01 0f 00 00 01 fc 46 00 00
[16:44:58.672] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0xd5; payload=ff fe 01 ff fd 00 ff fb 00 ff fd 2c 00 00 00 00 59 ff ff ff ff
[16:44:58.674] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:58.674] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x18; discarded 1 byte
[16:44:58.674] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:58.675] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x22; discarded 1 byte
[16:44:58.675] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0a; discarded 1 byte
[16:44:58.675] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0x01; payload=0b 00 00 01 fb 7e 00 00 18 00 58 f9 ff ff ff ff d6 00 00 24 0a
[16:44:58.675] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x0f; discarded 1 byte
[16:44:58.675] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:58.676] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
[16:44:58.679] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0x01: expected 0x0a, got 0x00; payload=fb e2 00 00 00 00 59 06 ff ff da 8b ff ff d7 00 00 24 0a 01 0f
[16:44:58.679] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x00; discarded 1 byte
