[17:01:08.239] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x34; discarded 1 byte(s)
[17:01:08.240] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x33; discarded 1 byte(s)
[17:01:08.240] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x36; discarded 1 byte(s)
[17:01:08.240] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x33; discarded 1 byte(s)
[17:01:08.241] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x38; discarded 1 byte(s)
[17:01:08.241] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x0d; discarded 1 byte(s)
[17:01:08.241] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x0a; discarded 1 byte(s)
[17:01:08.242] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x0d; discarded 1 byte(s)
[17:01:08.242] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x0a; discarded 1 byte(s)
[17:01:08.242] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x52; discarded 1 byte(s)
[17:01:08.243] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x65; discarded 1 byte(s)
[17:01:08.243] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x62; discarded 1 byte(s)
[17:01:08.294] RX[TCP_prs2026hitl_7102]  49 20 28 31 35 32 29 20 62 6f 6f 74 3a 20 4c 6f 61 64 65 64 20 61 70 70 20 66 72 6f 6d 20 70 61 72 74 69 74 69 6f 6e 20 61 74 20 6f 66 66 73 65 74 20 30 78 31 30 30 30 30 0d 0a 49 20 28 31 35 32 29 20 62 6f 6f 74 3a 20 44 69 73 61 62 6c 69 6e 67 20 52 4e 47 20 65 61 72 6c 79 20 65 6e 74 72 6f 70 79 20 73 6f 75 72 63 65 2e 2e 2e 0d 0a 49 20 28 31 36 33 29 20 63 70 75 5f 73 74 61 72 74 3a 20 4d 75 6c 74 69 63 6f 72 65 20 61 70 70 0d 0a 49 20 28 31 37 31 29 20 63 70 75 5f 73 74 61 72 74 3a 20 47 50 49 4f 20 34 34 20 61 6e 64 20 34 33 20 61 72 65 20 75 73 65 64 20 61 73 20 63 6f 6e 73 6f 6c 65 20 55 41 52 54 20 49 2f 4f 20 70 69 6e 73 0d 0a 49 20 28 31 37 32 29 20 63 70 75 5f 73 74 61 72 74 3a 20 50 72 6f 20 63 70 75 20 73 74 61 72 74 20 75 73 65 72 20 63 6f 64 65 0d 0a 49 20 28 31 37 32 29 20 63 70 75 5f 73 74 61 72 74 3a 20 63 70 75 20 66 72 65 71 3a 20 31 36 30 30 30 30 30 30 30 20 48 7a 0d 0a 49 20 28 31 37 33 29 20 61 70 70 5f 69 6e 69 74 3a 20 41 70 70 6c 69 63 61 74 69 6f 6e 20 69 6e 66 6f 72 6d 61 74 69 6f 6e 3a 0d 0a 49 20 28 31 37 37 29 20 61 70 70 5f 69 6e 69 74 3a 20 50 72 6f 6a 65 63 74 20 6e 61 6d 65 3a 20 20 20 20 20 73 6f 66 74 77 61 72 65 61 74 74 65 6d 70 74 32 0d 0a 49 20 28 31 38 32 29 20 61 70 70 5f 69 6e 69 74 3a 20 41 70 70 20 76 65 72 73 69 6f 6e 3a 20 20 20 20 20 20 39 36 37 63 30 39 36 2d 64 69 72 74 79 0d 0a 49 20 28 31 38 36 29 20 61 70 70 5f 69 6e 69 74 3a 20 43 6f 6d 70 69 6c 65 20 74 69 6d 65 3a 20 20 20 20 20 53 65 70 20 32 30 20 32 30 32 36 20 31 36 3a 34 33 3a 30 37 0d 0a 49 20 28 31 39 31 29 20 61 70 70 5f 69 6e 69 74 3a 20 45 4c 46 20 66 69 6c 65 20 53 48 41 32 35 36 3a 20 20 38 66 37 63 34 33 36 33 38 2e 2e 2e 0d 0a 49 20 28 31 39 36 29 20 61 70 70 5f 69 6e 69 74 3a 20 45 53 50 2d 49 44 46 3a 20 20 20 20 20 20 20 20 20 20 76 36 2e 31 2e 30 0d 0a
[17:01:08.296] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x49; discarded 1 byte(s)
[17:01:08.298] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[17:01:08.299] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x28; discarded 1 byte(s)
[17:01:08.301] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x31; discarded 1 byte(s)
[17:01:08.303] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x35; discarded 1 byte(s)
[17:01:08.304] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x32; discarded 1 byte(s)
[17:01:08.305] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x29; discarded 1 byte(s)
[17:01:08.306] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[17:01:08.308] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x62; discarded 1 byte(s)
[17:01:08.309] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x6f; discarded 1 byte(s)
[17:01:08.311] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x6f; discarded 1 byte(s)
[17:01:08.313] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x74; discarded 1 byte(s)
[17:01:08.323] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x3a; discarded 1 byte(s)
[17:01:08.325] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[17:01:08.326] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x4c; discarded 1 byte(s)
[17:01:08.326] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x6f; discarded 1 byte(s)
[17:01:08.327] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x61; discarded 1 byte(s)
[17:01:08.327] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x64; discarded 1 byte(s)
[17:01:08.327] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x65; discarded 1 byte(s)
[17:01:08.328] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x64; discarded 1 byte(s)
[17:01:08.328] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[17:01:08.328] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x61; discarded 1 byte(s)
