[23:08:38.331] RX[COM9]  45
[23:08:38.332] BAD_PACKET[COM9] unknown packet ID 0x45; discarded 1 byte(s)
[23:08:38.333] RX[COM9]  20 28 32 36 39 32 31 29 20 73 70 69 5f 6d 61 73 74 65 72 3a 20 63 68 65 63 6b 5f 74 72 61 6e 73 5f 76 61 6c 69 64 28 31 31 31 30 29 3a 20 74 78 64 61 74 61 20 74 72 61 6e 73 66 65 72 20 3e 20 68 6f 73 74 20 6d 61 78 69 6d 75 6d 0d 0a
[23:08:38.334] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.335] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:38.335] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[23:08:38.344] BAD_PACKET[COM9] unknown packet ID 0x36; discarded 1 byte(s)
[23:08:38.345] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[23:08:38.346] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[23:08:38.347] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[23:08:38.347] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:38.348] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.349] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:38.349] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[23:08:38.350] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[23:08:38.350] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[23:08:38.351] BAD_PACKET[COM9] unknown packet ID 0x6d; discarded 1 byte(s)
[23:08:38.351] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:38.353] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:38.354] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:38.354] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:38.355] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:38.356] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[23:08:38.356] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.357] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[23:08:38.358] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[23:08:38.358] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:38.359] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[23:08:38.359] BAD_PACKET[COM9] unknown packet ID 0x6b; discarded 1 byte(s)
[23:08:38.360] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[23:08:38.360] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:38.361] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:38.361] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:38.361] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:38.362] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:38.362] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[23:08:38.362] BAD_PACKET[COM9] unknown packet ID 0x76; discarded 1 byte(s)
[23:08:38.363] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:38.363] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[23:08:38.363] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[23:08:38.364] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[23:08:38.364] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:38.364] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[23:08:38.365] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[23:08:38.366] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[23:08:38.366] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[23:08:38.367] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:38.368] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[23:08:38.369] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.369] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:38.370] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[23:08:38.370] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[23:08:38.371] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:38.371] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:38.371] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:38.372] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.372] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:38.372] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:38.373] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:38.374] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:38.375] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:38.376] BAD_PACKET[COM9] unknown packet ID 0x66; discarded 1 byte(s)
[23:08:38.376] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:38.376] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:38.377] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.377] BAD_PACKET[COM9] unknown packet ID 0x3e; discarded 1 byte(s)
[23:08:38.378] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.378] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[23:08:38.378] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[23:08:38.379] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[23:08:38.379] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:38.380] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.380] BAD_PACKET[COM9] unknown packet ID 0x6d; discarded 1 byte(s)
[23:08:38.380] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:38.381] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[23:08:38.381] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[23:08:38.382] BAD_PACKET[COM9] unknown packet ID 0x6d; discarded 1 byte(s)
[23:08:38.382] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[23:08:38.383] BAD_PACKET[COM9] unknown packet ID 0x6d; discarded 1 byte(s)
[23:08:38.383] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[23:08:38.384] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[23:08:38.738] RX[COM9]  49
[23:08:38.739] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[23:08:38.740] RX[COM9]  20 28 32 37 33 31 31 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[23:08:38.741] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.743] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[23:08:38.744] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[23:08:38.745] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[23:08:38.745] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[23:08:38.746] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[23:08:38.746] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[23:08:38.747] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[23:08:38.747] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.747] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[23:08:38.748] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[23:08:38.749] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:38.751] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:38.751] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[23:08:38.752] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[23:08:38.752] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[23:08:38.753] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:38.753] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[23:08:38.753] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.754] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[23:08:38.754] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[23:08:38.756] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:38.756] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[23:08:38.756] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[23:08:38.757] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[23:08:38.757] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[23:08:38.758] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[23:08:38.759] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[23:08:38.759] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
