[02:39:06.213] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x63; discarded 1 byte(s)
[02:39:06.213] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.214] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.214] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.214] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x70; discarded 1 byte(s)
[02:39:06.215] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.215] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.215] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.215] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[02:39:06.216] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.216] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.216] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[02:39:06.217] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.217] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.217] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.217] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x3a; discarded 1 byte(s)
[02:39:06.218] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.218] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x56; discarded 1 byte(s)
[02:39:06.219] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.219] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[02:39:06.220] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.220] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.220] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.220] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.221] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.221] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.221] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[02:39:06.222] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.222] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6c; discarded 1 byte(s)
[02:39:06.222] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.222] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.223] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.223] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.223] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.224] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.224] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x66; discarded 1 byte(s)
[02:39:06.224] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6f; discarded 1 byte(s)
[02:39:06.224] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.225] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.225] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x64; discarded 1 byte(s)
[02:39:06.225] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0d; discarded 1 byte(s)
[02:39:06.225] BAD_PACKET[TCP_prs2026hitl_7101] unknown packet ID 0x0a; discarded 1 byte(s)
[02:39:06.226] ERROR[TCP_prs2026hitl_7101] TCP server closed the connection
[02:39:06.553] RX[COM9]  49
[02:39:06.555] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:39:06.555] RX[COM9]  20 28 32 33 30 39 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[02:39:06.555] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.556] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:39:06.556] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:39:06.556] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:39:06.557] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:39:06.557] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[02:39:06.557] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[02:39:06.558] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.558] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.558] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:39:06.559] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.559] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.559] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.559] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.560] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.560] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.560] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:39:06.561] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
