[02:33:29.637] RX[COM9]  45
[02:33:29.637] BAD_PACKET[COM9] unknown packet ID 0x45; discarded 1 byte(s)
[02:33:29.637] RX[COM9]  20 42 4f 44 3a 20 42 72 6f 77 6e 6f 75 74 20 64 65 74 65 63 74 6f 72 20 77 61 73 20 74 72 69 67 67 65 72 65 64 0d 0a 0d 0a 0d 0a
[02:33:29.639] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.640] BAD_PACKET[COM9] unknown packet ID 0x42; discarded 1 byte(s)
[02:33:29.640] BAD_PACKET[COM9] unknown packet ID 0x4f; discarded 1 byte(s)
[02:33:29.641] BAD_PACKET[COM9] unknown packet ID 0x44; discarded 1 byte(s)
[02:33:29.642] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:33:29.645] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.646] BAD_PACKET[COM9] unknown packet ID 0x42; discarded 1 byte(s)
[02:33:29.648] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:33:29.653] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:33:29.654] BAD_PACKET[COM9] unknown packet ID 0x77; discarded 1 byte(s)
[02:33:29.656] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:33:29.657] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:33:29.659] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[02:33:29.660] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:33:29.661] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.662] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:33:29.663] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:33:29.665] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:33:29.666] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:33:29.667] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[02:33:29.668] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:33:29.669] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:33:29.670] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:33:29.671] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.672] BAD_PACKET[COM9] unknown packet ID 0x77; discarded 1 byte(s)
[02:33:29.673] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:33:29.673] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:33:29.674] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.676] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:33:29.677] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:33:29.678] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:33:29.678] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[02:33:29.679] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[02:33:29.680] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:33:29.681] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:33:29.682] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:33:29.684] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:33:29.684] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:33:29.684] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:33:29.684] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:33:29.685] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:33:29.685] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:33:29.686] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:33:29.687] RX[COM9]  45
[02:33:29.687] BAD_PACKET[COM9] unknown packet ID 0x45; discarded 1 byte(s)
[02:33:29.687] RX[COM9]  53 50 2d 52 4f 4d 3a 65 73 70 33 32 73 33 2d 32 30 32 31 30 33 32 37 0d 0a
[02:33:29.687] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:33:29.687] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:33:29.688] BAD_PACKET[COM9] unknown packet ID 0x2d; discarded 1 byte(s)
[02:33:29.688] BAD_PACKET[COM9] unknown packet ID 0x52; discarded 1 byte(s)
[02:33:29.688] BAD_PACKET[COM9] unknown packet ID 0x4f; discarded 1 byte(s)
[02:33:29.688] BAD_PACKET[COM9] unknown packet ID 0x4d; discarded 1 byte(s)
[02:33:29.688] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:33:29.689] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:33:29.689] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:33:29.689] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:33:29.689] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:33:29.689] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:33:29.690] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:33:29.690] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:33:29.690] BAD_PACKET[COM9] unknown packet ID 0x2d; discarded 1 byte(s)
[02:33:29.690] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:33:29.690] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:33:29.690] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:33:29.691] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[02:33:29.691] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:33:29.691] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:33:29.691] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:33:29.691] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[02:33:29.692] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:33:29.692] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:33:29.692] RX[COM9]  42 75 69 6c 64 3a 4d 61 72 20 32 37 20 32 30 32 31 0d 0a
[02:33:29.692] BAD_PACKET[COM9] unknown packet ID 0x42; discarded 1 byte(s)
[02:33:29.692] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[02:33:29.692] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:33:29.693] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:33:29.693] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:33:29.693] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:33:29.693] BAD_PACKET[COM9] unknown packet ID 0x4d; discarded 1 byte(s)
[02:33:29.694] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:33:29.694] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:33:29.694] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.694] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:33:29.694] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[02:33:29.694] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.695] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:33:29.695] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:33:29.695] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:33:29.695] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[02:33:29.696] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:33:29.696] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:33:29.696] RX[COM9]  72
[02:33:29.696] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:33:29.696] RX[COM9]  73 74 3a 30 78 33 20 28 52 54 43 5f 53 57 5f 53 59 53 5f 52 53 54 29 2c 62 6f 6f 74 3a 30 78 38 20 28 53 50 49 5f 46 41 53 54 5f 46 4c 41 53 48 5f 42 4f 4f 54 29 0d 0a
[02:33:29.696] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:33:29.697] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:33:29.697] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:33:29.697] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:33:29.697] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:33:29.698] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:33:29.698] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.698] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:33:29.698] BAD_PACKET[COM9] unknown packet ID 0x52; discarded 1 byte(s)
[02:33:29.699] BAD_PACKET[COM9] unknown packet ID 0x54; discarded 1 byte(s)
[02:33:29.699] BAD_PACKET[COM9] unknown packet ID 0x43; discarded 1 byte(s)
[02:33:29.699] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:33:29.699] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:33:29.699] BAD_PACKET[COM9] unknown packet ID 0x57; discarded 1 byte(s)
[02:33:29.700] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:33:29.700] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:33:29.700] BAD_PACKET[COM9] unknown packet ID 0x59; discarded 1 byte(s)
[02:33:29.700] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:33:29.700] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:33:29.700] BAD_PACKET[COM9] unknown packet ID 0x52; discarded 1 byte(s)
[02:33:29.701] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:33:29.701] BAD_PACKET[COM9] unknown packet ID 0x54; discarded 1 byte(s)
[02:33:29.701] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[02:33:29.701] BAD_PACKET[COM9] unknown packet ID 0x2c; discarded 1 byte(s)
[02:33:29.701] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[02:33:29.702] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:33:29.702] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:33:29.702] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:33:29.702] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:33:29.702] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:33:29.702] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:33:29.703] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:33:29.703] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:33:29.703] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:33:29.703] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:33:29.703] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:33:29.704] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:33:29.704] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:33:29.704] BAD_PACKET[COM9] unknown packet ID 0x46; discarded 1 byte(s)
[02:33:29.704] BAD_PACKET[COM9] unknown packet ID 0x41; discarded 1 byte(s)
[02:33:29.704] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:33:29.705] BAD_PACKET[COM9] unknown packet ID 0x54; discarded 1 byte(s)
[02:33:29.705] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:33:29.705] BAD_PACKET[COM9] unknown packet ID 0x46; discarded 1 byte(s)
[02:33:29.705] BAD_PACKET[COM9] unknown packet ID 0x4c; discarded 1 byte(s)
[02:33:29.705] BAD_PACKET[COM9] unknown packet ID 0x41; discarded 1 byte(s)
[02:33:29.706] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
