[02:34:23.416] RX[COM9]  49
[02:34:23.417] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:34:23.417] RX[COM9]  20 28 32 35 38 29 20 73 6c 65 65 70 5f 67 70 69 6f 3a 20 43 6f 6e 66 69 67 75 72 65 20 74 6f 20 69 73 6f 6c 61 74 65 20 61 6c 6c 20 47 50 49 4f 20 70 69 6e 73 20 69 6e 20 73 6c 65 65 70 20 73 74 61 74 65 0d 0a
[02:34:23.417] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.417] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:34:23.418] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:23.418] BAD_PACKET[COM9] unknown packet ID 0x35; discarded 1 byte(s)
[02:34:23.420] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:34:23.421] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[02:34:23.421] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.421] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:23.421] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:23.422] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.422] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.422] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:34:23.423] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:34:23.423] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[02:34:23.423] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:34:23.423] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.424] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:23.425] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:23.425] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.426] BAD_PACKET[COM9] unknown packet ID 0x43; discarded 1 byte(s)
[02:34:23.426] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:23.427] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:23.427] BAD_PACKET[COM9] unknown packet ID 0x66; discarded 1 byte(s)
[02:34:23.427] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.428] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[02:34:23.428] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[02:34:23.428] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:34:23.428] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.429] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.429] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:23.429] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:23.429] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.430] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.430] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:23.430] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:23.431] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:23.431] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:23.431] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:23.431] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.432] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.432] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:23.432] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:23.432] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:23.434] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.434] BAD_PACKET[COM9] unknown packet ID 0x47; discarded 1 byte(s)
[02:34:23.435] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:34:23.435] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:34:23.435] BAD_PACKET[COM9] unknown packet ID 0x4f; discarded 1 byte(s)
[02:34:23.436] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.436] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:34:23.436] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.437] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:23.437] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:23.437] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.438] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.438] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:23.438] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.438] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:23.439] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:23.439] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.439] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.439] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:34:23.440] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.441] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:23.441] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:23.441] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:23.442] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:23.442] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.442] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:23.443] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:23.443] RX[COM9]  49
[02:34:23.443] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:34:23.443] RX[COM9]  20 28 32 36 34 29 20 73 6c 65 65 70 5f 67 70 69 6f 3a 20 45 6e 61 62 6c 65 20 61 75 74 6f 6d 61 74 69 63 20 73 77 69 74 63 68 69 6e 67 20 6f 66 20 47 50 49 4f 20 73 6c 65 65 70 20 63 6f 6e 66 69 67 75 72 61 74 69 6f 6e 0d 0a
[02:34:23.444] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.444] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:34:23.444] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:23.445] BAD_PACKET[COM9] unknown packet ID 0x36; discarded 1 byte(s)
[02:34:23.445] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[02:34:23.445] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[02:34:23.445] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.446] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:23.446] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:23.446] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.447] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.447] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:34:23.448] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:34:23.449] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[02:34:23.449] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:34:23.449] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.449] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:23.450] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:23.450] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.450] BAD_PACKET[COM9] unknown packet ID 0x45; discarded 1 byte(s)
[02:34:23.451] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:23.451] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:23.451] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[02:34:23.452] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:23.452] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.452] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.453] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:23.453] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[02:34:23.453] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:23.454] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:23.454] BAD_PACKET[COM9] unknown packet ID 0x6d; discarded 1 byte(s)
[02:34:23.454] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:23.455] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:23.455] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.455] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[02:34:23.456] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.456] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:23.456] BAD_PACKET[COM9] unknown packet ID 0x77; discarded 1 byte(s)
[02:34:23.457] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.457] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:23.457] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[02:34:23.457] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[02:34:23.461] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:23.464] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:23.466] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[02:34:23.468] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.470] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:23.472] BAD_PACKET[COM9] unknown packet ID 0x66; discarded 1 byte(s)
[02:34:23.474] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.476] BAD_PACKET[COM9] unknown packet ID 0x47; discarded 1 byte(s)
[02:34:23.478] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:34:23.480] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:34:23.485] BAD_PACKET[COM9] unknown packet ID 0x4f; discarded 1 byte(s)
[02:34:23.487] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:23.488] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:23.490] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:23.492] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:23.494] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
