[02:34:46.857] RX[COM9]  45
[02:34:46.857] BAD_PACKET[COM9] unknown packet ID 0x45; discarded 1 byte(s)
[02:34:46.858] RX[COM9]  53 50 2d 52 4f 4d 3a 65 73 70 33 32 73 33 2d 32 30 32 31 30 33 32 37 0d 0a
[02:34:46.858] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.858] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:34:46.859] BAD_PACKET[COM9] unknown packet ID 0x2d; discarded 1 byte(s)
[02:34:46.859] BAD_PACKET[COM9] unknown packet ID 0x52; discarded 1 byte(s)
[02:34:46.860] BAD_PACKET[COM9] unknown packet ID 0x4f; discarded 1 byte(s)
[02:34:46.860] BAD_PACKET[COM9] unknown packet ID 0x4d; discarded 1 byte(s)
[02:34:46.861] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.863] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.864] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:46.865] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:34:46.865] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:34:46.866] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.867] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:46.868] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:34:46.868] BAD_PACKET[COM9] unknown packet ID 0x2d; discarded 1 byte(s)
[02:34:46.869] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.871] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.872] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.873] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[02:34:46.873] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.873] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:34:46.873] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.873] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[02:34:46.874] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.874] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.874] RX[COM9]  42 75 69 6c 64 3a 4d 61 72 20 32 37 20 32 30 32 31 0d 0a
[02:34:46.874] BAD_PACKET[COM9] unknown packet ID 0x42; discarded 1 byte(s)
[02:34:46.875] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[02:34:46.875] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:46.875] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.875] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:34:46.876] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.876] BAD_PACKET[COM9] unknown packet ID 0x4d; discarded 1 byte(s)
[02:34:46.876] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:46.876] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:34:46.877] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.877] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.877] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[02:34:46.877] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.878] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.878] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.878] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.878] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[02:34:46.878] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.879] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.879] RX[COM9]  72
[02:34:46.879] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:34:46.879] RX[COM9]  73 74 3a 30 78 33 20 28 52 54 43 5f 53 57 5f 53 59 53 5f 52 53 54 29 2c 62 6f 6f 74 3a 30 78 38 20 28 53 50 49 5f 46 41 53 54 5f 46 4c 41 53 48 5f 42 4f 4f 54 29 0d 0a
[02:34:46.880] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:34:46.880] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:46.880] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.880] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.881] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.881] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:34:46.881] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.881] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:34:46.882] BAD_PACKET[COM9] unknown packet ID 0x52; discarded 1 byte(s)
[02:34:46.882] BAD_PACKET[COM9] unknown packet ID 0x54; discarded 1 byte(s)
[02:34:46.882] BAD_PACKET[COM9] unknown packet ID 0x43; discarded 1 byte(s)
[02:34:46.882] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:34:46.882] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.883] BAD_PACKET[COM9] unknown packet ID 0x57; discarded 1 byte(s)
[02:34:46.883] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:34:46.883] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.883] BAD_PACKET[COM9] unknown packet ID 0x59; discarded 1 byte(s)
[02:34:46.883] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.883] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:34:46.884] BAD_PACKET[COM9] unknown packet ID 0x52; discarded 1 byte(s)
[02:34:46.884] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.884] BAD_PACKET[COM9] unknown packet ID 0x54; discarded 1 byte(s)
[02:34:46.884] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[02:34:46.884] BAD_PACKET[COM9] unknown packet ID 0x2c; discarded 1 byte(s)
[02:34:46.885] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[02:34:46.885] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.885] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.885] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:34:46.885] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.885] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.886] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.886] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:34:46.886] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.886] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:34:46.886] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.887] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:34:46.887] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:34:46.887] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:34:46.887] BAD_PACKET[COM9] unknown packet ID 0x46; discarded 1 byte(s)
[02:34:46.887] BAD_PACKET[COM9] unknown packet ID 0x41; discarded 1 byte(s)
[02:34:46.888] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.888] BAD_PACKET[COM9] unknown packet ID 0x54; discarded 1 byte(s)
[02:34:46.888] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:34:46.888] BAD_PACKET[COM9] unknown packet ID 0x46; discarded 1 byte(s)
[02:34:46.888] BAD_PACKET[COM9] unknown packet ID 0x4c; discarded 1 byte(s)
[02:34:46.889] BAD_PACKET[COM9] unknown packet ID 0x41; discarded 1 byte(s)
[02:34:46.889] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.889] BAD_PACKET[COM9] unknown packet ID 0x48; discarded 1 byte(s)
[02:34:46.889] BAD_PACKET[COM9] unknown packet ID 0x5f; discarded 1 byte(s)
[02:34:46.889] BAD_PACKET[COM9] unknown packet ID 0x42; discarded 1 byte(s)
[02:34:46.889] BAD_PACKET[COM9] unknown packet ID 0x4f; discarded 1 byte(s)
[02:34:46.890] BAD_PACKET[COM9] unknown packet ID 0x4f; discarded 1 byte(s)
[02:34:46.890] BAD_PACKET[COM9] unknown packet ID 0x54; discarded 1 byte(s)
[02:34:46.890] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[02:34:46.890] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.890] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.891] RX[COM9]  53 61 76 65 64 20 50 43 3a 30 78 34 30 33 37 36 38 37 38 0d 0a
[02:34:46.891] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.891] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:46.891] BAD_PACKET[COM9] unknown packet ID 0x76; discarded 1 byte(s)
[02:34:46.891] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.891] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:34:46.892] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.892] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:34:46.892] BAD_PACKET[COM9] unknown packet ID 0x43; discarded 1 byte(s)
[02:34:46.892] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.892] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.893] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.893] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[02:34:46.893] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.893] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:34:46.893] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[02:34:46.893] BAD_PACKET[COM9] unknown packet ID 0x36; discarded 1 byte(s)
[02:34:46.894] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:34:46.894] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[02:34:46.894] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:34:46.894] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.894] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.895] RX[COM9]  53
[02:34:46.895] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:34:46.895] RX[COM9]  50 49 57 50 3a 30 78 65 65 0d 0a
[02:34:46.895] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:34:46.895] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:34:46.895] BAD_PACKET[COM9] unknown packet ID 0x57; discarded 1 byte(s)
[02:34:46.896] BAD_PACKET[COM9] unknown packet ID 0x50; discarded 1 byte(s)
[02:34:46.896] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.896] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.896] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.896] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.897] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.897] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.897] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.897] RX[COM9]  6d
[02:34:46.897] BAD_PACKET[COM9] unknown packet ID 0x6d; discarded 1 byte(s)
[02:34:46.897] RX[COM9]  6f 64 65 3a 44 49 4f 2c 20 63 6c 6f 63 6b 20 64 69 76 3a 31 0d 0a
[02:34:46.898] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.898] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:34:46.898] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.898] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.898] BAD_PACKET[COM9] unknown packet ID 0x44; discarded 1 byte(s)
[02:34:46.899] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:34:46.899] BAD_PACKET[COM9] unknown packet ID 0x4f; discarded 1 byte(s)
[02:34:46.899] BAD_PACKET[COM9] unknown packet ID 0x2c; discarded 1 byte(s)
[02:34:46.899] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.899] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[02:34:46.900] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.900] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.900] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[02:34:46.900] BAD_PACKET[COM9] unknown packet ID 0x6b; discarded 1 byte(s)
[02:34:46.900] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.900] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:34:46.901] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:46.901] BAD_PACKET[COM9] unknown packet ID 0x76; discarded 1 byte(s)
[02:34:46.901] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.901] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[02:34:46.901] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.902] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.902] RX[COM9]  6c
[02:34:46.902] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.903] RX[COM9]  6f 61 64 3a 30 78 33 66 63 65 32 38 32 30 2c 6c 65 6e 3a 30 78 31 34 66 30 0d 0a
