[02:34:46.857] RX[COM9]  45
[02:34:46.857] BAD_PACKET[COM9] unknown packet ID 0x45; discarded 1 byte(s)
[02:34:46.903] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.903] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:46.903] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:34:46.903] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.903] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.904] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.904] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:34:46.904] BAD_PACKET[COM9] unknown packet ID 0x66; discarded 1 byte(s)
[02:34:46.904] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[02:34:46.905] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.905] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.905] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:34:46.905] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.905] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.905] BAD_PACKET[COM9] unknown packet ID 0x2c; discarded 1 byte(s)
[02:34:46.906] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.906] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.906] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:46.906] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.906] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.907] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.907] BAD_PACKET[COM9] unknown packet ID 0x31; discarded 1 byte(s)
[02:34:46.907] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[02:34:46.907] BAD_PACKET[COM9] unknown packet ID 0x66; discarded 1 byte(s)
[02:34:46.907] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.907] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.908] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.908] RX[COM9]  6c
[02:34:46.908] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.908] RX[COM9]  6f 61 64 3a 30 78 34 30 33 63 38 37 30 30 2c 6c 65 6e 3a 30 78 64 65 34 0d 0a
[02:34:46.908] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.909] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:46.909] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:34:46.909] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.909] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.909] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.909] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[02:34:46.910] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.910] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:34:46.910] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[02:34:46.910] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:34:46.910] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[02:34:46.911] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.911] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.911] BAD_PACKET[COM9] unknown packet ID 0x2c; discarded 1 byte(s)
[02:34:46.911] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.911] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.912] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:46.912] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.912] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.912] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.912] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:34:46.912] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.913] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[02:34:46.913] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.913] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.913] RX[COM9]  6c
[02:34:46.914] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.914] RX[COM9]  6f 61 64 3a 30 78 34 30 33 63 62 37 30 30 2c 6c 65 6e 3a 30 78 32 66 35 38 0d 0a
[02:34:46.914] BAD_PACKET[COM9] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.914] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:46.914] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:34:46.915] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.915] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.915] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.915] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[02:34:46.915] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.915] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:34:46.916] BAD_PACKET[COM9] unknown packet ID 0x63; discarded 1 byte(s)
[02:34:46.916] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[02:34:46.916] BAD_PACKET[COM9] unknown packet ID 0x37; discarded 1 byte(s)
[02:34:46.916] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.916] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.917] BAD_PACKET[COM9] unknown packet ID 0x2c; discarded 1 byte(s)
[02:34:46.917] BAD_PACKET[COM9] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.917] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.917] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:46.919] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.921] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[02:34:46.921] BAD_PACKET[COM9] unknown packet ID 0x78; discarded 1 byte(s)
[02:34:46.921] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:34:46.921] BAD_PACKET[COM9] unknown packet ID 0x66; discarded 1 byte(s)
[02:34:46.921] BAD_PACKET[COM9] unknown packet ID 0x35; discarded 1 byte(s)
[02:34:46.922] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:34:46.922] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:34:46.922] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:34:46.922] ERROR[COM9] ClearCommError failed (PermissionError(13, 'The device does not recognize the command.', None, 22))
[02:34:46.923] RX[TCP_prs2026hitl_7100]  44 65 76 69 63 65 20 6f 70 65 6e 20 66 61 69 6c 75 72 65 3a 20 56 61 6c 75 65 20 6f 72 20 66 69 6c 65 20 6e 6f 74 20 66 6f 75 6e 64 0d 0a
[02:34:46.923] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x44; discarded 1 byte(s)
[02:34:46.923] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.924] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x76; discarded 1 byte(s)
[02:34:46.924] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:46.924] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x63; discarded 1 byte(s)
[02:34:46.924] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.925] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.925] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.925] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x70; discarded 1 byte(s)
[02:34:46.925] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.926] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[02:34:46.926] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.926] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x66; discarded 1 byte(s)
[02:34:46.926] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:46.926] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x69; discarded 1 byte(s)
[02:34:46.927] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.927] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x75; discarded 1 byte(s)
[02:34:46.927] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[02:34:46.927] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.927] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[02:34:46.928] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.928] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x56; discarded 1 byte(s)
[02:34:46.928] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[02:34:46.928] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6c; discarded 1 byte(s)
[02:34:46.928] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x75; discarded 1 byte(s)
[02:34:46.928] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[02:34:46.929] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[02:34:46.929] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[02:34:46.929] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[02:34:46.929] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
