[23:25:36.813] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.813] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.813] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.814] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.814] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.814] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.815] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.815] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.815] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.816] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.816] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.816] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.816] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.817] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.817] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.817] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.818] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
