[16:27:23.314] RX[COM9]  49
[16:27:23.315] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[16:27:23.315] RX[COM9]  20 28 35 33 30 39 29 20 61 70 65 72 74 75 72 65 3a 20 53 65 6e 64 69 6e 67 20 68 65 61 72 74 62 65 61 74 20 28 38 20 62 79 74 65 73 29 0d 0a
[16:27:23.315] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[16:27:23.316] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[16:27:23.316] BAD_PACKET[COM9] unknown packet ID 0x35; discarded 1 byte(s)
[16:27:23.316] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[16:27:23.320] BAD_PACKET[COM9] unknown packet ID 0x30; discarded 1 byte(s)
[16:27:23.320] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[16:27:23.320] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[16:27:23.321] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[16:27:23.321] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[16:27:23.321] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[16:27:23.321] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[16:27:23.322] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[16:27:23.322] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[16:27:23.322] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[16:27:23.323] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[16:27:23.323] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[16:27:23.323] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[16:27:23.323] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[16:27:23.324] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[16:27:23.324] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[16:27:23.324] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[16:27:23.325] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[16:27:23.325] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[16:27:23.325] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[16:27:23.326] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[16:27:23.326] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[16:27:23.326] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[16:27:23.326] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[16:27:23.327] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[16:27:23.327] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[16:27:23.327] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[16:27:23.328] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[16:27:23.328] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[16:27:23.328] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[16:27:23.329] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[16:27:23.329] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[16:27:23.329] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[16:27:23.330] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[16:27:23.330] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[16:27:23.330] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[16:27:23.330] BAD_PACKET[COM9] unknown packet ID 0x79; discarded 1 byte(s)
[16:27:23.331] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[16:27:23.331] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[16:27:23.331] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[16:27:23.332] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[16:27:23.332] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[16:27:23.332] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[16:27:23.332] RX[COM9]  49
[16:27:23.333] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[16:27:23.333] RX[COM9]  20 28 35 33 34 39 29 20 61 70 65 72 74 75 72 65 3a 20 48 65 61 72 74 62 65 61 74 20 73 65 6e 74 0d 0a
[16:27:23.333] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[16:27:23.334] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[16:27:23.334] BAD_PACKET[COM9] unknown packet ID 0x35; discarded 1 byte(s)
