packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,status,uptime,filtered_accel_x,filtered_accel_y,filtered_accel_z,gyro_x,gyro_y,gyro_z,fc_status,fc_uptime,current_sense_ch1,current_sense_ch2,current_sense_ch3,iris_battery_voltage,command_value,mcu_temperature,orientation_x,orientation_y,orientation_z,orientation_w,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,latitude,longitude,gps_altitude,barometric_altitude,witness_battery_voltage,raw_packet_hex
224,217161,0x01,sensors,23,4293984.38,24982,4293984380,-21.41184,15.72868,-1.39268,-752.64,358.4,663.88,,,,,,,,,,,,,,,,,,,,,,,,01 61 96 ff f1 00 7c f7 d5 00 06 00 01 ff 77 ff d6 00 14 00 25 0c 0a
225,217257,0x01,sensors,23,4293853.309,25022,4293853309,-21.41184,13.10736,-1.35172,-734.72,358.4,663.88,,,,,,,,,,,,,,,,,,,,,,,,01 61 be ff ef 00 7d f7 d5 00 05 00 04 ff 7b ff d7 00 14 00 25 0c 0a
226,217401,0x01,sensors,23,4293787.771,25082,4293787771,-21.3504,13.10732,-1.36196,-716.8,376.32,663.88,,,,,,,,,,,,,,,,,,,,,,,,01 61 fa ff ee 00 7b f7 db 00 05 00 03 ff 7a ff d8 00 15 00 25 0c 0a
227,217689,0x01,sensors,23,4293853.31,25203,4293853310,-21.39136,5.24288,-1.3722,-734.72,376.32,663.88,,,,,,,,,,,,,,,,,,,,,,,,01 62 73 ff ef 00 7e f7 d7 00 02 00 00 ff 79 ff d7 00 15 00 25 0c 0a
228,217977,0x01,sensors,23,4293787.775,25322,4293787775,-21.42208,5.24292,-1.35172,-734.72,358.4,663.88,,,,,,,,,,,,,,,,,,,,,,,,01 62 ea ff ee 00 7f f7 d4 00 02 00 01 ff 7b ff d7 00 14 00 25 0c 0a
229,221649,0x01,sensors,23,3.814,32927,3814,176.79404,-26.2144,52.39132,1361.99,1827.84,1.26,,,,,,,,,,,,,,,,,,,,,,,,01 80 9f 00 00 0e e6 43 71 0b f6 00 00 13 fc 57 4c 01 66 00 00 12 0a
230,222060,0xFF,heartbeat,8,2096616.96,60928,2096616960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff ee 00 7c f7 d6 00 0a
231,222645,0x03,camera,19,4292149.269,37,203948033,,,,,,,65403,4292149269,12.8,16.7,0.0,0.015,,,,,,,,,,,,,,,,,,03 ff 7b ff d5 00 15 00 25 0c 28 00 01 80 a7 00 00 0f 0a
232,233877,0x03,camera,19,4292280.34,37,207421441,,,,,,,65403,4292280340,12.8,15.7,0.0,0.015,,,,,,,,,,,,,,,,,,03 ff 7b ff d7 00 14 00 25 0c 5d 00 01 80 9d 00 00 0f 0a
233,233937,0x01,sensors,23,3.852,32927,3852,176.79404,-26.2144,52.26844,1361.99,1845.76,1.33,,,,,,,,,,,,,,,,,,,,,,,,01 80 9f 00 00 0f 0c 43 71 0b f6 00 00 13 f0 57 4c 01 67 00 00 13 0a
234,244716,0xFF,heartbeat,8,2146948.352,61696,2146948352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff f1 00 7f f7 d5 00 0a
235,246225,0x01,sensors,23,3.881,32934,3881,176.78796,60.29312,52.26844,1361.99,1971.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,01 80 a6 00 00 0f 29 43 70 73 17 00 00 13 f0 57 4c 01 6e 00 00 14 0a
236,258513,0x01,sensors,23,3.904,32933,3904,176.7888,-178.25792,52.26844,1361.99,1989.12,1.47,,,,,,,,,,,,,,,,,,,,,,,,01 80 a5 00 00 0f 40 43 70 88 bc 00 00 13 f0 57 4c 01 6f 00 00 15 0a
237,270801,0x01,sensors,23,3.925,32929,3925,176.79228,-5.24288,52.26844,1361.99,1971.2,1.54,,,,,,,,,,,,,,,,,,,,,,,,01 80 a1 00 00 0f 55 43 70 df fe 00 00 13 f0 57 4c 01 6e 00 00 16 0a
