I (169) w25n01kv: initialized W25N01KV JEDEC EF AE 21, SR1=0x00 SR2=0x19
I (179) flash_logger: startup test block 1023 wrote/read:
E (9979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (10479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (10979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (11479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (11979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (12479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (12979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (13479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (13979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (14479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (14979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (15479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (15979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (16479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (16979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (17079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (17199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (17299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (17349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (17479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (17579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
I (17619) sensors: radio RX: 10 bytes, packet ID 0x05
I (17619) sensors: 05 00 00 00 00 00 00 73 01 0a
W (17619) sensors: could not forward 10-byte radio packet to USB: ESP_ERR_NO_MEM
I (17629) serial_command: acting on radio command 0x7301
I (17629) serial_command: manual launch trigger accepted
I (17629) flight_state: pad idle -> boost
