packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,record_version,status_byte0,heartbeat_phase,low_g_valid,gyro_valid,imu_temperature_valid,flash_init_failed,high_g_valid,barometer_valid,logging_failed,sequence,uptime,low_accel_x,low_accel_y,low_accel_z,high_accel_x,high_accel_y,high_accel_z,gyro_x,gyro_y,gyro_z,lsm6_temperature,pressure,ms5607_temperature,barometric_altitude,witness_battery_voltage,raw_packet_hex
0,0,WL,flash_sample,48,17.598,1,111,1,1,1,1,0,1,1,0,434,17598,0.017568,0.0366,-1.02236,0.052085,-0.010417,-1.375044,-2.94,1.47,2.66,37.3046875,98361,38.48,249.742446899,5.092,57 4c 01 6f 00 00 01 b2 00 00 44 be 00 24 00 4b f7 d1 00 05 ff ff ff 7c ff d6 00 15 00 26 0c 4e 00 01 80 39 00 00 0f 08 43 79 be 11 00 00 13 e4
1,48,WL,flash_sample,48,17.618,1,111,1,1,1,1,0,1,1,0,435,17618,0.01708,0.037088,-1.021872,0.031251,0.010417,-1.385461,-2.94,1.4,2.66,37.33203125,98361,38.5,249.742446899,5.092,57 4c 01 6f 00 00 01 b3 00 00 44 d2 00 23 00 4c f7 d2 00 03 00 01 ff 7b ff d6 00 14 00 26 0c 55 00 01 80 39 00 00 0f 0a 43 79 be 11 00 00 13 e4
2,96,WL,flash_sample,48,17.638,1,103,1,1,1,0,0,1,1,0,436,17638,0.017568,0.037088,-1.021872,0.020834,0.010417,-1.406295,-2.94,1.4,2.66,37.32421875,98362,38.53,249.65524292,5.076,57 4c 01 67 00 00 01 b4 00 00 44 e6 00 24 00 4c f7 d2 00 02 00 01 ff 79 ff d6 00 14 00 26 0c 53 00 01 80 3a 00 00 0f 0d 43 79 a7 be 00 00 13 d4
3,144,WL,flash_sample,48,17.658,1,103,1,1,1,0,0,1,1,0,437,17658,0.017568,0.037576,-1.022848,0.010417,0.010417,-1.395878,-2.94,1.47,2.66,37.33203125,98364,38.55,249.48614502,5.076,57 4c 01 67 00 00 01 b5 00 00 44 fa 00 24 00 4d f7 d0 00 01 00 01 ff 7a ff d6 00 15 00 26 0c 55 00 01 80 3c 00 00 0f 0f 43 79 7c 74 00 00 13 d4
4,192,WL,flash_sample,48,17.678,1,103,1,1,1,0,0,1,1,0,438,17678,0.016592,0.037088,-1.02236,0.041668,-0.010417,-1.395878,-3.01,1.4,2.66,37.32421875,98367,38.57,249.22984314,5.076,57 4c 01 67 00 00 01 b6 00 00 45 0e 00 22 00 4c f7 d1 00 04 ff ff ff 7a ff d5 00 14 00 26 0c 53 00 01 80 3f 00 00 0f 11 43 79 3a d7 00 00 13 d4
5,240,WL,flash_sample,48,17.698,1,111,1,1,1,1,0,1,1,0,439,17698,0.01708,0.037576,-1.021872,0.041668,-0.031251,-1.385461,-2.94,1.47,2.66,37.359375,98364,38.59,249.48614502,5.076,57 4c 01 6f 00 00 01 b7 00 00 45 22 00 23 00 4d f7 d2 00 04 ff fd ff 7b ff d6 00 15 00 26 0c 5c 00 01 80 3c 00 00 0f 13 43 79 7c 74 00 00 13 d4
6,288,WL,flash_sample,48,17.718,1,111,1,1,1,1,0,1,1,0,440,17718,0.01708,0.037576,-1.021872,0.041668,-0.010417,-1.385461,-2.94,1.47,2.59,37.30078125,98367,38.61,249.22984314,5.076,57 4c 01 6f 00 00 01 b8 00 00 45 36 00 23 00 4d f7 d2 00 04 ff ff ff 7b ff d6 00 15 00 25 0c 4d 00 01 80 3f 00 00 0f 15 43 79 3a d7 00 00 13 d4
7,336,WL,flash_sample,48,17.738,1,111,1,1,1,1,0,1,1,0,441,17738,0.017568,0.037088,-1.02236,0.031251,0.010417,-1.395878,-2.94,1.4,2.73,37.32421875,98367,38.63,249.22984314,5.104,57 4c 01 6f 00 00 01 b9 00 00 45 4a 00 24 00 4c f7 d1 00 03 00 01 ff 7a ff d6 00 14 00 27 0c 53 00 01 80 3f 00 00 0f 17 43 79 3a d7 00 00 13 f0
8,384,WL,flash_sample,48,17.758,1,103,1,1,1,0,0,1,1,0,442,17758,0.018056,0.037576,-1.02236,0.010417,0.041668,-1.395878,-2.94,1.47,2.66,37.32421875,98364,38.64,249.48614502,5.104,57 4c 01 67 00 00 01 ba 00 00 45 5e 00 25 00 4d f7 d1 00 01 00 04 ff 7a ff d6 00 15 00 26 0c 53 00 01 80 3c 00 00 0f 18 43 79 7c 74 00 00 13 f0
9,432,WL,flash_sample,48,17.778,1,103,1,1,1,0,0,1,1,0,443,17778,0.016592,0.037088,-1.02236,0.041668,0.031251,-1.395878,-2.94,1.47,2.66,37.33984375,98367,38.66,249.22984314,5.104,57 4c 01 67 00 00 01 bb 00 00 45 72 00 22 00 4c f7 d1 00 04 00 03 ff 7a ff d6 00 15 00 26 0c 57 00 01 80 3f 00 00 0f 1a 43 79 3a d7 00 00 13 f0
10,480,WL,flash_sample,48,17.798,1,103,1,1,1,0,0,1,1,0,444,17798,0.01708,0.037576,-1.022848,0.052085,0.0,-1.375044,-2.94,1.47,2.66,37.359375,98368,38.67,249.145294189,5.104,57 4c 01 67 00 00 01 bc 00 00 45 86 00 23 00 4d f7 d0 00 05 00 00 ff 7c ff d6 00 15 00 26 0c 5c 00 01 80 40 00 00 0f 1b 43 79 25 32 00 00 13 f0
11,528,WL,flash_sample,48,17.818,1,111,1,1,1,1,0,1,1,0,445,17818,0.01708,0.037576,-1.021384,0.010417,0.010417,-1.385461,-2.94,1.47,2.66,37.33203125,98368,38.68,249.145294189,5.104,57 4c 01 6f 00 00 01 bd 00 00 45 9a 00 23 00 4d f7 d3 00 01 00 01 ff 7b ff d6 00 15 00 26 0c 55 00 01 80 40 00 00 0f 1c 43 79 25 32 00 00 13 f0
12,576,WL,flash_sample,48,17.838,1,111,1,1,1,1,0,1,1,0,446,17838,0.01708,0.0366,-1.02236,0.020834,0.062502,-1.364627,-2.94,1.47,2.66,37.32421875,98368,38.7,249.145294189,5.084,57 4c 01 6f 00 00 01 be 00 00 45 ae 00 23 00 4b f7 d1 00 02 00 06 ff 7d ff d6 00 15 00 26 0c 53 00 01 80 40 00 00 0f 1e 43 79 25 32 00 00 13 dc
