packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,status,uptime,filtered_accel_x,filtered_accel_y,filtered_accel_z,gyro_x,gyro_y,gyro_z,command_value,mcu_temperature,iris_battery_voltage,current_sense_ch1,current_sense_ch2,current_sense_ch3,raw_packet_hex
60,39621,0x05,command,10,4292476.948,65404,4292476948,,,,,,,37,,,,,,05 ff 7c ff da 00 14 00 25 0a
61,39765,0x05,command,10,4292345.876,65402,4292345876,,,,,,,37,,,,,,05 ff 7a ff d8 00 14 00 25 0a
62,40053,0x05,command,10,4292345.876,65401,4292345876,,,,,,,37,,,,,,05 ff 79 ff d8 00 14 00 25 0a
63,40197,0x05,command,10,4292345.876,65402,4292345876,,,,,,,37,,,,,,05 ff 7a ff d8 00 14 00 25 0a
64,40245,0x05,command,10,4292411.412,65399,4292411412,,,,,,,36,,,,,,05 ff 77 ff d9 00 14 00 24 0a
65,40533,0x05,command,10,4292345.876,65405,4292345876,,,,,,,37,,,,,,05 ff 7d ff d8 00 14 00 25 0a
66,40581,0x05,command,10,4292345.876,65402,4292345876,,,,,,,37,,,,,,05 ff 7a ff d8 00 14 00 25 0a
67,40629,0x05,command,10,4292411.412,65405,4292411412,,,,,,,37,,,,,,05 ff 7d ff d9 00 14 00 25 0a
68,40725,0x05,command,10,4292345.876,65403,4292345876,,,,,,,37,,,,,,05 ff 7b ff d8 00 14 00 25 0a
69,40917,0x05,command,10,4292280.341,65401,4292280341,,,,,,,37,,,,,,05 ff 79 ff d7 00 15 00 25 0a
70,41013,0x05,command,10,4292345.876,65401,4292345876,,,,,,,37,,,,,,05 ff 79 ff d8 00 14 00 25 0a
71,41397,0x05,command,10,4292280.339,65401,4292280339,,,,,,,38,,,,,,05 ff 79 ff d7 00 13 00 26 0a
72,41445,0x05,command,10,4292280.339,65401,4292280339,,,,,,,38,,,,,,05 ff 79 ff d7 00 13 00 26 0a
73,41493,0x05,command,10,4292280.339,65401,4292280339,,,,,,,38,,,,,,05 ff 79 ff d7 00 13 00 26 0a
74,41541,0x05,command,10,4292280.339,65401,4292280339,,,,,,,38,,,,,,05 ff 79 ff d7 00 13 00 26 0a
75,41589,0x05,command,10,4292280.339,65401,4292280339,,,,,,,38,,,,,,05 ff 79 ff d7 00 13 00 26 0a
76,41637,0x05,command,10,4292280.339,65401,4292280339,,,,,,,38,,,,,,05 ff 79 ff d7 00 13 00 26 0a
77,41685,0x05,command,10,4292280.339,65401,4292280339,,,,,,,38,,,,,,05 ff 79 ff d7 00 13 00 26 0a
78,41829,0x05,command,10,4292608.01,65399,4292608010,,,,,,,43,,,,,,05 ff 77 ff dc 00 0a 00 2b 0a
79,42165,0x05,command,10,4292345.876,65403,4292345876,,,,,,,36,,,,,,05 ff 7b ff d8 00 14 00 24 0a
80,42309,0x05,command,10,4292280.34,65399,4292280340,,,,,,,37,,,,,,05 ff 77 ff d7 00 14 00 25 0a
81,42645,0x05,command,10,4292345.877,65403,4292345877,,,,,,,37,,,,,,05 ff 7b ff d8 00 15 00 25 0a
82,42741,0x05,command,10,4292280.34,65400,4292280340,,,,,,,37,,,,,,05 ff 78 ff d7 00 14 00 25 0a
83,42933,0x05,command,10,4292280.339,65404,4292280339,,,,,,,37,,,,,,05 ff 7c ff d7 00 13 00 25 0a
84,43077,0x05,command,10,4292280.34,65403,4292280340,,,,,,,38,,,,,,05 ff 7b ff d7 00 14 00 26 0a
85,43125,0x05,command,10,4292214.803,65405,4292214803,,,,,,,37,,,,,,05 ff 7d ff d6 00 13 00 25 0a
86,43269,0x05,command,10,4292280.34,65402,4292280340,,,,,,,37,,,,,,05 ff 7a ff d7 00 14 00 25 0a
87,43317,0x05,command,10,4292345.876,65402,4292345876,,,,,,,37,,,,,,05 ff 7a ff d8 00 14 00 25 0a
88,43413,0x05,command,10,4292411.412,65402,4292411412,,,,,,,37,,,,,,05 ff 7a ff d9 00 14 00 25 0a
89,43461,0x05,command,10,4292280.34,65400,4292280340,,,,,,,37,,,,,,05 ff 78 ff d7 00 14 00 25 0a
90,44421,0x05,command,10,4291756.047,65404,4291756047,,,,,,,35,,,,,,05 ff 7c ff cf 00 0f 00 23 0a
91,44517,0x05,command,10,4292608.021,65401,4292608021,,,,,,,37,,,,,,05 ff 79 ff dc 00 15 00 25 0a
92,44709,0x05,command,10,4292804.631,65405,4292804631,,,,,,,38,,,,,,05 ff 7d ff df 00 17 00 26 0a
93,44805,0x05,command,10,4292673.556,65405,4292673556,,,,,,,38,,,,,,05 ff 7d ff dd 00 14 00 26 0a
94,44901,0x05,command,10,4292476.949,65400,4292476949,,,,,,,37,,,,,,05 ff 78 ff da 00 15 00 25 0a
